rollupcode,lineofbusiness,statecode,state,high_risk,coexisting_condition,60plus_age_old,70plus_age_old,80plus_age_old,60plus_age,70plus_age,80plus_age,asthma,cancer,liver_disease,chronic_kidney_disease,copd,ischemic_heart_disease,diabetes,heart_failure,hypertension,2plus_high_risk,anxiety,bipolar,depression,sud,oud,pct_adult_smoke,bh_high_needs_old,bh_high_needs,any_bh_conditions,high_risk_high_bh_old,high_risk_high_bh,high_risk_any_bh,nf_beds_rate,pct_nf_poor_rating,pop_density,pct_below_poverty,pct_income_below_50,pct_snap_benefits,pct_severe_housing_problems,pct_food_insecure,pct_uninsured,pct_unemployed,pct_children_from_single_parent_households,pct_children_on_free_or_reduced_lunchs,acute_hosp_all_beds_rate,pcp_rate,pcp_mlp_rate,any_bhprovider_rate,bh_psychiatrist_rate,bh_psychologist_rate,sdoh_percent_rank,sdoh_quintile,AnyCCorAge60+_percent_rank,AnyCCorAge60+_quintile,HighneedsBH_percentile,HighneedsBH_quintile,population,Members in Sample,Weighted Members in Sample,Pop Weight Factor,Sufficient Data?,Pct. Black,pct_white,pct_black_v2,pct_nativeamerican,pct_asian,pct_nativehawaiian,pct_othrace,pct_2races,pct_hispanic,pct_minority,pct_medicare,pct_medicaid,homeless_rate,pct_obese,pct_alcoholuse,violentcrime_rate,pct_rural,pct_jobsatrisk,incarcerated_rate,nursinghome_rate,high_risk_log,coexisting_condition_log,60plus_age_old_log,70plus_age_old_log,80plus_age_old_log,60plus_age_log,70plus_age_log,80plus_age_log,asthma_log,cancer_log,liver_disease_log,chronic_kidney_disease_log,copd_log,ischemic_heart_disease_log,diabetes_log,heart_failure_log,hypertension_log,2plus_high_risk_log,anxiety_log,bipolar_log,depression_log,sud_log,oud_log,pct_adult_smoke_log,bh_high_needs_old_log,bh_high_needs_log,any_bh_conditions_log,high_risk_high_bh_old_log,high_risk_high_bh_log,high_risk_any_bh_log,nf_beds_rate_log,pct_nf_poor_rating_log,pop_density_log,pct_below_poverty_log,pct_income_below_50_log,pct_snap_benefits_log,pct_severe_housing_problems_log,pct_food_insecure_log,pct_uninsured_log,pct_unemployed_log,pct_children_from_single_parent_households_log,pct_children_on_free_or_reduced_lunchs_log,acute_hosp_all_beds_rate_log,pcp_rate_log,pcp_mlp_rate_log,any_bhprovider_rate_log,bh_psychiatrist_rate_log,bh_psychologist_rate_log,sdoh_percent_rank_log,sdoh_quintile_log,AnyCCorAge60+_percent_rank_log,AnyCCorAge60+_quintile_log,HighneedsBH_percentile_log,HighneedsBH_quintile_log,population_log,Members in Sample_log,Weighted Members in Sample_log,Pop Weight Factor_log,Sufficient Data?_log,Pct. Black_log,pct_white_log,pct_black_v2_log,pct_nativeamerican_log,pct_asian_log,pct_nativehawaiian_log,pct_othrace_log,pct_2races_log,pct_hispanic_log,pct_minority_log,pct_medicare_log,pct_medicaid_log,homeless_rate_log,pct_obese_log,pct_alcoholuse_log,violentcrime_rate_log,pct_rural_log,pct_jobsatrisk_log,incarcerated_rate_log,nursinghome_rate_log,neighborhood_stress_score,algorex_sdoh_composite_score,social_isolation_score,transportation_access_score,food_access_score,unstable_housing_score,aces_score,public_transit_access_score,vehicle_access_score,state_govt_assistance,large_households,homeless_indicator
CY2017,All,AL,Alabama,0.363368859,0.239096072,0.275921587,0.12456652,0.042616875,0.224647048,0.107043629,0.036918153,0.048938041,0.020083119,0.008720644,0.05143502,0.036908238,0.060168205,0.078557316,0.029182297,0.181310301,0.13509156,0.07399913,0.009943203,0.059406605,0.008019253,0.008237059,0.209,0.038284769,0.01023755,0.209221434,0.018858225,0.005280647,0.122034438,3516.256535,0.271929825,96,0.18,0.078,0.15,0.143,0.163,0.11,0.039,0.380900002,0.510719986,265.5866459,78.68852189,190.4851827,98.76780413,10.12210224,12.38978299,0.65375,4,0.78,4,0,1,4887871,237198,243870,0.934780418,1,0.265,0.657,0.264,0.005,0.013,0,0.002,0.017,0.042,0.324,0.215433382,0.189013458,67.22642648,0.355,0.139,479,0.41,0.359,898,481,-0.439652295,-0.621427559,-0.559214321,-0.904598668,-1.370418399,-0.648499285,-0.970439177,-1.432760036,-1.31035342,-1.697168838,-2.059451442,-1.288741087,-1.432876688,-1.220632945,-1.104813363,-1.534880527,-0.741577521,-0.869371783,-1.130773386,-2.002473694,-1.226165266,-2.095866085,-2.084227823,-0.679853714,-1.416973969,-1.989803964,-0.679393826,-1.724499187,-2.277312828,-0.913517595,3.546080552,-0.565543157,1.982271233,-0.744727495,-1.107905397,-0.823908741,-0.844663963,-0.787812396,-0.958607315,-1.408935393,-0.419189025,-0.291817147,2.424206234,1.895911387,2.279861199,1.994615398,1.00527072,1.0930637,-0.184588298,0.602059991,-0.107905397,0.602059991,,0,6.689119736,5.375111023,5.387158378,-0.029290394,0,-0.576754126,-0.18243463,-0.578396073,-2.301029996,-1.886056648,,-2.698970004,-1.769551079,-1.37675071,-0.48945499,-0.666687001,-0.723507273,1.827540026,-0.449771647,-0.8569852,2.680335513,-0.387216143,-0.444905551,2.953276337,2.682145076,-0.07,5.88,3.47,5.96,3.63,3.53,4.79,0.03,0.8,0.52,1.3,0.69
CY2017,All,AK,Alaska,0.302253868,0.157084423,0.238187168,0.082590547,0.023231338,0.165576643,0.061654724,0.018443744,0.033795838,0.016246254,0.007589725,0.029708925,0.018718452,0.030109491,0.043171413,0.016322742,0.090025067,0.073097304,0.051367562,0.009859108,0.053994869,0.019837591,0.014699428,0.21,0.060633904,0.017011398,0.199417198,0.017773406,0.004795859,0.084465113,1022.329836,0.210526316,1,0.102,0.047,0.103,0.205,0.136,0.148,0.066,0.305559998,0.40848999,165.0497925,127.0030397,311.9562936,423.7947913,17.06010981,27.35033477,0.67125,4,0.06,1,0.44,3,737438,26944,29946,0.735245563,1,0.032,0.61,0.031,0.14,0.062,0.012,0.002,0.074,0.069,0.314,0.135359786,0.300794107,258.203408,0.325,0.213,720,0.34,0.37,664,228,-0.519628133,-0.803866879,-0.623081639,-1.083069658,-1.633925776,-0.781000927,-1.210033643,-1.734150916,-1.47113678,-1.789246761,-2.11977396,-1.527113063,-1.72773007,-1.521296586,-1.364803737,-1.787206884,-1.045636547,-1.136098641,-1.289311046,-2.006162376,-1.267647508,-1.702511068,-1.832699565,-0.677780705,-1.217284468,-1.769259992,-0.70023739,-1.750229338,-2.319133611,-1.073322633,3.009591036,-0.676693609,0,-0.991399828,-1.327902142,-0.987162775,-0.688246139,-0.866461092,-0.829738285,-1.180456064,-0.514903501,-0.388818581,2.217614983,2.103814116,2.494093752,2.627155615,1.231981822,1.436962646,-0.173115701,0.602059991,-1.22184875,0,-0.356547324,0.477121255,5.867725513,4.43046207,4.47633882,-0.133567588,0,-1.494850022,-0.214670165,-1.508638306,-0.853871964,-1.207608311,-1.920818754,-2.698970004,-1.13076828,-1.161150909,-0.503070352,-0.868510342,-0.521730676,2.41196197,-0.488116639,-0.671620397,2.857332496,-0.468521083,-0.431798276,2.822168079,2.357934847,-0.23,5.77,2.58,5.14,2.66,3.39,4.92,0.38,0.76,10,1.2,3.42
CY2017,All,AZ,Arizona,0.346492192,0.207001914,0.269120178,0.123529104,0.041829587,0.225596526,0.112675182,0.038451578,0.046850534,0.020876433,0.011308854,0.048025637,0.027490663,0.044620031,0.063349254,0.0193782,0.131562207,0.10960587,0.067176551,0.011773413,0.057559612,0.014840576,0.01001677,0.156,0.045257083,0.013508494,0.203713726,0.020374998,0.0059959,0.110682681,1465.433556,0.301369863,63,0.17,0.08,0.125,0.185,0.14,0.121,0.048,0.361110001,0.484990005,182.7620953,93.71586794,221.1030748,150.1480335,13.72991798,33.20143801,0.7875,4,0.44,3,0.08,1,7171646,325053,325057,0.999977204,1,0.043,0.551,0.041,0.039,0.032,0.002,0.001,0.022,0.311,0.426,0.194275402,0.250820344,146.9468334,0.275,0.167,435,0.102,0.363,1096,216,-0.460306548,-0.684025639,-0.570053739,-0.908230709,-1.378516423,-0.646667593,-0.94817173,-1.415085833,-1.329285455,-1.680343704,-1.946581403,-1.318526866,-1.560814786,-1.350470132,-1.198258495,-1.712686566,-0.88086885,-0.960166186,-1.172782298,-1.929097621,-1.239882142,-1.828549243,-1.999272298,-0.806875402,-1.344313441,-1.869393076,-0.690979708,-1.690902425,-2.222145586,-0.95592033,3.165966132,-0.520900179,1.799340549,-0.769551079,-1.096910013,-0.903089987,-0.732828272,-0.853871964,-0.91721463,-1.318758763,-0.442360484,-0.314267212,2.261886128,1.971813132,2.344594782,2.176519649,1.137667943,1.521156894,-0.103749438,0.602059991,-0.356547324,0.477121255,-1.096910013,0,6.855618844,5.511954179,5.511959523,-9.90E-06,0,-1.366531544,-0.258848401,-1.387216143,-1.408935393,-1.494850022,-2.698970004,-3,-1.657577319,-0.507239611,-0.370590401,-0.711582183,-0.60063724,2.167160232,-0.560667306,-0.777283529,2.638489257,-0.991399828,-0.440093375,3.039810554,2.334453751,-0.22,6.13,2.83,4.71,2.76,3.27,4.63,0.36,0.49,0.81,0.8,2.38
CY2017,All,AR,Arkansas,0.351183716,0.235387713,0.263541272,0.123937099,0.044022248,0.223850768,0.109216627,0.038486681,0.049379559,0.02080774,0.009224296,0.045970227,0.03914109,0.065849474,0.075733244,0.030451956,0.169172144,0.133543997,0.08841824,0.012512161,0.075397855,0.011593586,0.006257284,0.223,0.052504331,0.012817478,0.248452431,0.023311826,0.006251563,0.135486048,5140.003402,0.417777778,57,0.181,0.076,0.136,0.143,0.173,0.093,0.037,0.357669983,0.635909996,258.5340759,85.29374629,191.1385842,257.4930892,10.9135699,18.267637,0.6325,4,0.54,3,0.24,2,3013825,136197,141836,0.908147551,1,0.154,0.727,0.153,0.006,0.015,0.003,0.002,0.022,0.073,0.25,0.213726652,0.285954672,91.23744436,0.342,0.158,515,0.438,0.357,960,635,-0.45446563,-0.628216211,-0.579151362,-0.906798674,-1.356327784,-0.650041411,-0.961711239,-1.414689543,-1.306452793,-1.681775087,-2.035066769,-1.337523352,-1.407367084,-1.18144769,-1.12071344,-1.516384806,-0.771671147,-0.874375629,-1.053458134,-1.902667676,-1.122641009,-1.935782212,-2.203614133,-0.651695137,-1.279804871,-1.892197411,-0.60475675,-1.632423707,-2.204011416,-0.868105425,3.710963406,-0.379054664,1.755874856,-0.742321425,-1.119186408,-0.866461092,-0.844663963,-0.761953897,-1.031517051,-1.431798276,-0.446517506,-0.196604348,2.412517793,1.93091719,2.281348365,2.410765578,1.037966834,1.261682373,-0.19893947,0.602059991,-0.26760624,0.477121255,-0.619788758,0.301029996,6.479118031,5.134167542,5.151786475,-0.041843584,0,-0.812479279,-0.138465589,-0.815308569,-2.22184875,-1.823908741,-2.522878745,-2.698970004,-1.657577319,-1.13667714,-0.602059991,-0.670141318,-0.543702803,1.960173112,-0.465973894,-0.801342913,2.711807229,-0.358525889,-0.447331784,2.982271233,2.802773725,-0.06,5.74,3.43,7.48,3.7,3.58,4.9,0.03,0.83,1.18,1.2,1.39
CY2017,All,CA,California,0.308640301,0.186811139,0.227272465,0.100238,0.038624698,0.191779612,0.090352491,0.034461807,0.038494432,0.016202463,0.011673605,0.042029196,0.019378158,0.03508706,0.062239985,0.020283504,0.114785278,0.093704994,0.060246434,0.009383241,0.054931325,0.017928031,0.006651892,0.113,0.048496622,0.013555816,0.181963752,0.020112838,0.005667177,0.087374001,2301.431422,0.305951383,253,0.151,0.065,0.093,0.269,0.11,0.082,0.042,0.318400002,0.579869995,165.5651266,95.91654504,172.0243778,271.7015512,19.36492735,42.92657229,0.625,4,0.08,1,0.14,1,39557045,1959822,1966610,0.99005922,1,0.058,0.375,0.055,0.004,0.141,0.004,0.002,0.03,0.389,0.592,0.16063896,0.294118488,388.0629858,0.236,0.192,420,0.05,0.367,739,300,-0.510547366,-0.728597232,-0.643453178,-0.998967607,-1.413134903,-0.717197565,-1.044059868,-1.462661958,-1.414602084,-1.790418962,-1.932795006,-1.376448918,-1.712687507,-1.45485302,-1.205930521,-1.692857018,-0.94011381,-1.028237263,-1.220068654,-2.027647129,-1.260179925,-1.746467406,-2.177054811,-0.946921557,-1.314288511,-1.867874324,-0.740015117,-1.696526644,-2.246633197,-1.058617777,3.361998038,-0.514347579,2.403120521,-0.821023053,-1.187086643,-1.031517051,-0.57024772,-0.958607315,-1.086186148,-1.37675071,-0.497026938,-0.236669363,2.218968866,1.981893527,2.235589996,2.434092118,1.287015872,1.632726211,-0.204119983,0.602059991,-1.096910013,0,-0.853871964,0,7.597223841,6.292216629,6.293718243,-0.004338827,0,-1.236572006,-0.425968732,-1.259637311,-2.397940009,-0.850780887,-2.397940009,-2.698970004,-1.522878745,-0.410050399,-0.227678293,-0.794149116,-0.531477676,2.588902221,-0.627087997,-0.716698771,2.62324929,-1.301029996,-0.435333936,2.868644438,2.477121255,-0.16,6.37,2.76,4.16,3.05,2.35,4.95,1.17,0.83,4.46,1.1,6.79
CY2017,All,CO,Colorado,0.297664641,0.146528351,0.242024861,0.099374407,0.034640642,0.193776112,0.085370812,0.0294724,0.032452626,0.016414809,0.009240687,0.030120223,0.019638852,0.028210051,0.0394368,0.014912272,0.081210747,0.068661609,0.057951956,0.010064845,0.056092688,0.0133156,0.009823553,0.146,0.054000144,0.01456128,0.195329018,0.018289401,0.0046075,0.08692793,2940.927006,0.287610619,54,0.115,0.051,0.082,0.165,0.106,0.087,0.033,0.281359997,0.425209999,154.0691755,115.754217,260.0929014,359.8626253,17.1617169,41.09247112,0.32625,2,0.04,1,0.26,2,5695564,252971,255243,0.981493667,1,0.041,0.683,0.039,0.005,0.031,0.001,0.002,0.024,0.214,0.291,0.167289216,0.231530139,176.9330706,0.218,0.205,326,0.138,0.354,859,359,-0.526272751,-0.834078338,-0.616140021,-1.00272545,-1.460414068,-0.712699761,-1.068690586,-1.530584497,-1.488750155,-1.784764166,-2.03429574,-1.521141817,-1.706883903,-1.549596129,-1.404098332,-1.826456183,-1.090386495,-1.163286024,-1.236931901,-1.997192909,-1.251093748,-1.87563926,-2.007731407,-0.835647144,-1.267605082,-1.836800455,-0.709233233,-1.737800518,-2.336534683,-1.060840662,3.468484245,-0.541195083,1.73239376,-0.93930216,-1.292429824,-1.086186148,-0.782516056,-0.974694135,-1.060480747,-1.48148606,-0.550737649,-0.371396531,2.187715758,2.063536822,2.415128499,2.556136744,1.234560734,1.613762259,-0.48644948,0.301029996,-1.397940009,0,-0.585026652,0.301029996,6.755536736,5.403070738,5.40695384,-0.008112498,0,-1.387216143,-0.165579296,-1.408935393,-2.301029996,-1.508638306,-3,-2.698970004,-1.619788758,-0.669586227,-0.536107011,-0.776532055,-0.635392467,2.247809015,-0.661543506,-0.688246139,2.5132176,-0.860120914,-0.450996738,2.933993164,2.555094449,-0.07,5.71,2.7,4.84,2.78,3.07,4.78,0.73,0.33,1.42,1,3.63
CY2017,All,CT,Connecticut,0.350534856,0.203195876,0.273563638,0.125297528,0.048596365,0.229939433,0.112100671,0.045033874,0.048109696,0.021688785,0.008864672,0.038469154,0.023148562,0.039952454,0.060937986,0.020000417,0.131005956,0.100763502,0.080831177,0.012986364,0.067416401,0.017113006,0.013127977,0.127,0.070985092,0.018786438,0.229976328,0.030087507,0.008602223,0.111318387,4464.383412,0.330232558,737,0.101,0.047,0.124,0.181,0.113,0.063,0.041,0.317740002,0.377410011,184.6165146,112.7841094,286.0498798,373.2113536,35.49889581,45.82028322,0.44125,3,0.5,3,0.72,4,3572665,205524,205554,0.999746865,1,0.105,0.675,0.098,0.001,0.044,0,0.003,0.021,0.157,0.301,0.188764822,0.236656616,84.37942867,0.258,0.171,232,0.12,0.343,611,737,-0.455268791,-0.692085111,-0.562941629,-0.902057497,-1.313396215,-0.638386543,-0.95039179,-1.346460691,-1.317767387,-1.663764776,-2.052337329,-1.414887364,-1.635475982,-1.39845654,-1.215111903,-1.698960949,-0.882708959,-0.996696747,-1.092421097,-1.886512428,-1.171234436,-1.766673697,-1.881802193,-0.896196279,-1.14883285,-1.726155561,-0.638316865,-1.521613796,-2.065389302,-0.953433095,3.649761486,-0.481180111,2.867467488,-0.995678626,-1.327902142,-0.906578315,-0.742321425,-0.946921557,-1.200659451,-1.387216143,-0.497928106,-0.423186584,2.266270548,2.052247914,2.45644177,2.571954847,1.550214845,1.661057769,-0.355315282,0.477121255,-0.301029996,0.477121255,-0.142667504,0.602059991,6.552992295,5.312862544,5.312925932,-0.000109949,0,-0.978810701,-0.170696227,-1.008773924,-3,-1.356547324,,-2.522878745,-1.677780705,-0.804100348,-0.521433504,-0.724078937,-0.62588135,1.92623658,-0.588380294,-0.76700389,2.365487985,-0.920818754,-0.46470588,2.78604121,2.867467488,-0.09,5.84,2.76,4.23,2.71,2.89,4.66,1.34,1.49,4.77,1.5,1.06
CY2017,All,DE,Delaware,0.356436395,0.251984089,0.265981361,0.125837692,0.043033927,0.240922806,0.115648845,0.038759551,0.057703062,0.027036216,0.011553408,0.053428509,0.031223833,0.056262644,0.077115114,0.021774872,0.177637067,0.135224619,0.085621095,0.014646068,0.071296921,0.012412795,0.015676873,0.17,0.062986759,0.013443521,0.246921025,0.030086024,0.006399522,0.132348121,3047.986797,0.217391304,496,0.121,0.059,0.121,0.148,0.122,0.061,0.038,0.379939995,0.377999992,198.2554369,112.9557968,274.3363582,267.978621,17.58973946,67.07412698,0.55375,3,0.68,4,0.52,3,967171,46565,46568,0.999915726,1,0.219,0.627,0.216,0.003,0.038,0,0.002,0.023,0.091,0.348,0.2202744,0.244754867,97.59126532,0.309,0.168,499,0.167,0.371,761,511,-0.448017957,-0.598626881,-0.575148796,-0.900189256,-1.366189021,-0.618122087,-0.936858701,-1.411621261,-1.23880114,-1.568054093,-1.93728989,-1.272226945,-1.505513785,-1.249779863,-1.112860495,-1.662044389,-0.750466406,-0.868944234,-1.067419222,-1.834278954,-1.146929225,-1.906130417,-1.80474056,-0.769551079,-1.200750738,-1.871486958,-0.607441929,-1.521635202,-2.193852432,-0.87828222,3.484013081,-0.662757832,2.695481676,-0.91721463,-1.229147988,-0.91721463,-0.829738285,-0.913640169,-1.214670165,-1.420216403,-0.420284987,-0.422508209,2.297225106,2.052908523,2.438283369,2.428100148,1.245259407,1.826555029,-0.256686261,0.477121255,-0.167491087,0.602059991,-0.283996656,0.477121255,5.985503266,4.668059607,4.668087586,-3.66E-05,0,-0.659555885,-0.202732459,-0.665546249,-2.522878745,-1.420216403,,-2.698970004,-1.638272164,-1.040958608,-0.458420756,-0.657035973,-0.611268664,1.989410949,-0.510041521,-0.774690718,2.698100546,-0.777283529,-0.43062609,2.881384657,2.7084209,-0.07,5.82,2.65,3.89,2.91,3.1,4.67,0.69,0.7,2.07,1.3,1.28
CY2017,All,DC,District of Columbia,0.296325704,0.193626109,0.192640456,0.078195159,0.02913153,0.168263457,0.081246402,0.029661153,0.045559084,0.016345417,0.008788742,0.03945351,0.016126383,0.029460081,0.059522506,0.020507064,0.116663016,0.092760924,0.052595554,0.015962107,0.055497755,0.026010295,0.009911291,0.16,0.068448144,0.025462709,0.228014456,0.027406637,0.011252875,0.092843062,3226.817435,0.166666667,11506,0.174,0.094,0.144,0.215,0.11,0.043,0.056,0.542680016,0.750690002,298.338318,250.7469612,490.1909752,560.2395035,77.18723183,134.148137,0.76375,4,0.02,1,0.64,4,702455,36524,36524,1,1,0.477,0.362,0.461,0.002,0.038,0,0.004,0.023,0.109,0.611,0.139494729,0.365870453,969.8226181,0.235,0.273,1226,0,0.297,637,509,-0.528230675,-0.713036082,-0.715252502,-1.106820133,-1.535636705,-0.774010192,-1.09019586,-1.527811969,-1.341425016,-1.786603995,-2.056073284,-1.403914354,-1.79246303,-1.530766063,-1.225318793,-1.688096513,-0.9330668,-1.032634934,-1.279050966,-1.796909782,-1.255724585,-1.584854722,-2.003869773,-0.795880017,-1.164638323,-1.594095386,-0.642037618,-1.562144252,-1.948736512,-1.032250545,3.508774395,-0.77815125,4.06092437,-0.759450752,-1.026872146,-0.841637508,-0.66756154,-0.958607315,-1.366531544,-1.251811973,-0.265456171,-0.124539368,2.474709037,2.399235679,2.690365311,2.748373728,1.887545466,2.127584646,-0.117048777,0.602059991,-1.698970004,0,-0.193820026,0.602059991,5.846618508,4.562578334,4.562578334,0,0,-0.321481621,-0.441291429,-0.336299075,-2.698970004,-1.420216403,,-2.397940009,-1.638272164,-0.962573502,-0.21395879,-0.855442204,-0.436672661,2.986692308,-0.628932138,-0.563837353,3.08849047,,-0.527243551,2.804139432,2.706717782,-0.08,5.9,3.18,3.56,3.29,2.97,4.75,10,10,5.79,0.7,10
CY2017,All,FL,Florida,0.40110587,0.253762388,0.309499142,0.150562106,0.054569635,0.261128105,0.137313813,0.051438725,0.052394695,0.025014527,0.011623121,0.058006176,0.034966293,0.067936623,0.078559416,0.026025652,0.173254486,0.139053516,0.077964759,0.012570171,0.067172518,0.014287787,0.008233345,0.161,0.054013555,0.014680584,0.226470866,0.02772379,0.007156925,0.130527028,2148.672906,0.293865906,397,0.155,0.068,0.144,0.201,0.134,0.16,0.036,0.384570007,0.588969994,238.2430962,98.89810595,233.0060088,176.0982979,12.30370353,23.22663072,0.65,4,0.96,5,0.28,2,21299325,955437,957041,0.997261971,1,0.161,0.544,0.154,0.002,0.027,0.001,0.003,0.018,0.252,0.435,0.22427679,0.178169709,139.6951157,0.266,0.171,484,0.088,0.395,944,390,-0.396740982,-0.595572747,-0.509340551,-0.822284319,-1.263048951,-0.583146383,-0.862285774,-1.288709808,-1.280712683,-1.601807705,-1.934677241,-1.236525764,-1.456350408,-1.167896045,-1.104801754,-1.584598382,-0.761315512,-0.856818025,-1.108101659,-1.900658814,-1.172808372,-1.845035033,-2.084423686,-0.793174124,-1.267497238,-1.833256678,-0.644987659,-1.557147399,-2.145273522,-0.88429955,3.332170308,-0.531850797,2.598790507,-0.809668302,-1.167491087,-0.841637508,-0.696803943,-0.872895202,-0.795880017,-1.443697499,-0.41502459,-0.22990683,2.377020325,1.995187974,2.367367121,2.245755158,1.090035858,1.365986215,-0.187086643,0.602059991,-0.017728767,0.698970004,-0.552841969,0.301029996,7.32836584,5.980202056,5.980930544,-0.001190742,0,-0.793174124,-0.2644011,-0.812479279,-2.698970004,-1.568636236,-3,-2.522878745,-1.744727495,-0.598599459,-0.361510743,-0.649215668,-0.749166129,2.145181222,-0.575118363,-0.76700389,2.684845362,-1.055517328,-0.403402904,2.974971994,2.591064607,-0.1,6.14,2.93,5.69,2.93,3.29,4.82,0.39,0.76,1.78,1.1,2.63
